method,benchmark,fold,mu,error
unconstrained + projection,cylinder,0,700,0.11571974918230186
unconstrained + projection,cylinder,0,866.667,0.13004154401205978
unconstrained + projection,cylinder,0,1200,0.18544243065232877
unconstrained + projection,cylinder,0,533.333,0.07676400639160819
unconstrained + projection,cylinder,0,600,0.08262659354003063
unconstrained + projection,cylinder,0,466.667,0.07517756972038221
unconstrained + projection,cylinder,0,1133.33,0.15493925715966506
unconstrained + projection,cylinder,0,800,0.11211633063672674
unconstrained + projection,cylinder,0,94.444,0.0550963682294257
unconstrained + projection,cylinder,0,556.667,0.07563881902930392
unconstrained + projection,cylinder,1,1100,0.10475182121627923
unconstrained + projection,cylinder,1,136.667,0.051259596431012265
unconstrained + projection,cylinder,1,666.667,0.09265712441339974
unconstrained + projection,cylinder,1,178.889,0.04458796390467835
unconstrained + projection,cylinder,1,433.333,0.07437952421018192
unconstrained + projection,cylinder,1,100,0.06322263175421415
unconstrained + projection,cylinder,1,366.667,0.060162620221477066
unconstrained + projection,cylinder,1,966.667,0.10345401584089076
unconstrained + projection,cylinder,1,333.333,0.05756069902084558
unconstrained + projection,cylinder,2,1000,0.10006073230476735
unconstrained + projection,cylinder,2,633.333,0.08637671697447188
unconstrained + projection,cylinder,2,766.667,0.11446815452657128
unconstrained + projection,cylinder,2,566.667,0.0761369966516876
unconstrained + projection,cylinder,2,1066.67,0.10914562867216585
unconstrained + projection,cylinder,2,200,0.04320564660730986
unconstrained + projection,cylinder,2,73.333,0.06356903491492007
unconstrained + projection,cylinder,2,1033.33,0.10133391147425727
unconstrained + projection,cylinder,2,1125,0.094725679727976
unconstrained + projection,cylinder,3,350,0.05734915921884544
unconstrained + projection,cylinder,3,733.333,0.1395994665069257
unconstrained + projection,cylinder,3,115.556,0.054007667030828724
unconstrained + projection,cylinder,3,300,0.05216777502930092
unconstrained + projection,cylinder,3,233.333,0.0457760248794053
unconstrained + projection,cylinder,3,500,0.07813804314598487
unconstrained + projection,cylinder,3,400,0.06874066061525332
unconstrained + projection,cylinder,3,900,0.09686829050371311
unconstrained + projection,cylinder,3,10,0.10387394418663785
unconstrained + projection,cylinder,4,244.828,0.04584896209693111
unconstrained + projection,cylinder,4,289.655,0.05165167773368242
unconstrained + projection,cylinder,4,1166.67,0.11542187464483446
unconstrained + projection,cylinder,4,52.222,0.06489977082610478
unconstrained + projection,cylinder,4,933.333,0.14744078994078844
unconstrained + projection,cylinder,4,833.333,0.1136117443799745
unconstrained + projection,cylinder,4,31.111,0.067290684484645
unconstrained + projection,cylinder,4,266.667,0.054041173962019434
unconstrained + projection,cylinder,4,157.778,0.046796712326614226
