method,benchmark,fold,mu,error
single constrained tree,cylinder,0,100,0.018118673609514878
single constrained tree,cylinder,0,566.667,0.07503698554339448
single constrained tree,cylinder,0,433.333,0.06777494625126448
single constrained tree,cylinder,0,1500,0.13123433259581763
single constrained tree,cylinder,0,1033.33,0.0762103962821155
single constrained tree,cylinder,0,633.333,0.07963701804452075
single constrained tree,cylinder,0,1266.67,0.07579999193633885
single constrained tree,cylinder,0,1200,0.0744047069211814
single constrained tree,cylinder,0,1233.33,0.14429543930446015
single constrained tree,cylinder,0,350,0.054134707995832275
single constrained tree,cylinder,1,966.667,0.07501881695376017
single constrained tree,cylinder,1,766.667,0.07120269706438968
single constrained tree,cylinder,1,1066.67,0.09378100266316529
single constrained tree,cylinder,1,533.333,0.06372641650757638
single constrained tree,cylinder,1,366.667,0.06727445919998296
single constrained tree,cylinder,1,136.667,0.01625738142753634
single constrained tree,cylinder,1,94.444,0.031092979434144952
single constrained tree,cylinder,1,1000,0.06869179143214663
single constrained tree,cylinder,1,700,0.07720571309231153
single constrained tree,cylinder,1,556.667,0.06731400498916583
single constrained tree,cylinder,2,866.667,0.09252134692930944
single constrained tree,cylinder,2,178.889,0.05912101507207719
single constrained tree,cylinder,2,666.667,0.08018307316641783
single constrained tree,cylinder,2,466.667,0.06182246534756389
single constrained tree,cylinder,2,600,0.08550904996994003
single constrained tree,cylinder,2,1100,0.07027491689144925
single constrained tree,cylinder,2,333.333,0.053132217458414524
single constrained tree,cylinder,2,1125,0.06398223912975806
single constrained tree,cylinder,2,800,0.07328271806301705
single constrained tree,cylinder,2,300,0.051243791274609124
single constrained tree,cylinder,3,73.333,0.022226818432653346
single constrained tree,cylinder,3,1166.67,0.1029451893886777
single constrained tree,cylinder,3,733.333,0.07074714010473282
single constrained tree,cylinder,3,200,0.033152788781498646
single constrained tree,cylinder,3,1133.33,0.0886932460521816
single constrained tree,cylinder,3,115.556,0.025159531567468335
single constrained tree,cylinder,3,233.333,0.039602802953170556
single constrained tree,cylinder,3,500,0.0647410064428047
single constrained tree,cylinder,3,400,0.07561830627158397
single constrained tree,cylinder,3,900,0.07517170021435028
single constrained tree,cylinder,4,10,0.05936191459089889
single constrained tree,cylinder,4,244.828,0.04004247299570378
single constrained tree,cylinder,4,289.655,0.04740851954278001
single constrained tree,cylinder,4,1333.33,0.0973577459290754
single constrained tree,cylinder,4,52.222,0.025079767912948765
single constrained tree,cylinder,4,933.333,0.07585253244473934
single constrained tree,cylinder,4,833.333,0.07875708180107141
single constrained tree,cylinder,4,31.111,0.03188375499344231
single constrained tree,cylinder,4,266.667,0.04379603988158185
single constrained tree,cylinder,4,157.778,0.018429825240346257
