method,benchmark,fold,mu,error
unconstrained boosting,cylinder,0,100,0.009796352680720134
unconstrained boosting,cylinder,0,566.667,0.0694597565712746
unconstrained boosting,cylinder,0,433.333,0.06234746698834923
unconstrained boosting,cylinder,0,1500,0.13208600418444416
unconstrained boosting,cylinder,0,1033.33,0.0639072118586013
unconstrained boosting,cylinder,0,633.333,0.06845845996041587
unconstrained boosting,cylinder,0,1266.67,0.0757652365881315
unconstrained boosting,cylinder,0,1200,0.07417648730805029
unconstrained boosting,cylinder,0,1233.33,0.14559703931658968
unconstrained boosting,cylinder,0,350,0.05637257556913807
unconstrained boosting,cylinder,1,966.667,0.06768038690640657
unconstrained boosting,cylinder,1,766.667,0.0696050391762069
unconstrained boosting,cylinder,1,1066.67,0.09885949997352277
unconstrained boosting,cylinder,1,533.333,0.06387084767487798
unconstrained boosting,cylinder,1,366.667,0.05650034698847874
unconstrained boosting,cylinder,1,136.667,0.019034752731931035
unconstrained boosting,cylinder,1,94.444,0.009505828325547718
unconstrained boosting,cylinder,1,1000,0.06734249701342136
unconstrained boosting,cylinder,1,700,0.07357288463616789
unconstrained boosting,cylinder,1,556.667,0.06822187107643345
unconstrained boosting,cylinder,2,866.667,0.09110550923012269
unconstrained boosting,cylinder,2,178.889,0.033179050978808654
unconstrained boosting,cylinder,2,666.667,0.07926408319111716
unconstrained boosting,cylinder,2,466.667,0.061526493283560066
unconstrained boosting,cylinder,2,600,0.074592695886749
unconstrained boosting,cylinder,2,1100,0.06848978493638723
unconstrained boosting,cylinder,2,333.333,0.0544617563907107
unconstrained boosting,cylinder,2,1125,0.06076980594264741
unconstrained boosting,cylinder,2,800,0.06945655972701632
unconstrained boosting,cylinder,2,300,0.046261818377458186
unconstrained boosting,cylinder,3,73.333,0.010128752776524624
unconstrained boosting,cylinder,3,1166.67,0.1129052637371059
unconstrained boosting,cylinder,3,733.333,0.06385258221356722
unconstrained boosting,cylinder,3,200,0.028165771620831417
unconstrained boosting,cylinder,3,1133.33,0.09918010635421227
unconstrained boosting,cylinder,3,115.556,0.014108180275175552
unconstrained boosting,cylinder,3,233.333,0.03485437057314312
unconstrained boosting,cylinder,3,500,0.060921099981281826
unconstrained boosting,cylinder,3,400,0.07397646415602774
unconstrained boosting,cylinder,3,900,0.07240289431494143
unconstrained boosting,cylinder,4,10,0.046791049981949356
unconstrained boosting,cylinder,4,244.828,0.03740395552494337
unconstrained boosting,cylinder,4,289.655,0.04813110466005613
unconstrained boosting,cylinder,4,1333.33,0.08887729757254617
unconstrained boosting,cylinder,4,52.222,0.010550515668229385
unconstrained boosting,cylinder,4,933.333,0.07119970193156265
unconstrained boosting,cylinder,4,833.333,0.06802004611694765
unconstrained boosting,cylinder,4,31.111,0.01984424171256508
unconstrained boosting,cylinder,4,266.667,0.05165934432732072
unconstrained boosting,cylinder,4,157.778,0.020805904944045748
