method,benchmark,fold,mu,error
unconstrained + projection,kolmogorov,0,19.2121,0.5369786544742572
unconstrained + projection,kolmogorov,0,45,0.8314083776956672
unconstrained + projection,kolmogorov,0,34.9091,0.9735759310079188
unconstrained + projection,kolmogorov,0,13.6061,0.5948561427145548
unconstrained + projection,kolmogorov,0,40.5152,0.9447266112327891
unconstrained + projection,kolmogorov,0,29.303,0.8377866557664765
unconstrained + projection,kolmogorov,0,15.8485,0.7813961750806736
unconstrained + projection,kolmogorov,1,30.4242,0.8689592046493227
unconstrained + projection,kolmogorov,1,39.3939,0.7476663482501533
unconstrained + projection,kolmogorov,1,28.1818,0.8094610220536208
unconstrained + projection,kolmogorov,1,33.7879,0.8690641869444713
unconstrained + projection,kolmogorov,1,41.6364,0.9245440200591577
unconstrained + projection,kolmogorov,1,32.6667,0.9208373018624104
unconstrained + projection,kolmogorov,1,14.7273,0.3517611112729994
unconstrained + projection,kolmogorov,2,36.0303,0.9646834213348815
unconstrained + projection,kolmogorov,2,25.9394,0.7650043747616384
unconstrained + projection,kolmogorov,2,18.0909,0.7004247765787562
unconstrained + projection,kolmogorov,2,37.1515,0.8559580033014672
unconstrained + projection,kolmogorov,2,11.3636,0.19775344242079573
unconstrained + projection,kolmogorov,2,8,0.19846730297499357
unconstrained + projection,kolmogorov,2,24.8182,0.6795616772315365
unconstrained + projection,kolmogorov,3,27.0606,0.790903322065867
unconstrained + projection,kolmogorov,3,38.2727,0.8955020416153715
unconstrained + projection,kolmogorov,3,21.4545,0.7393422364935514
unconstrained + projection,kolmogorov,3,31.5455,0.9147372090063233
unconstrained + projection,kolmogorov,3,20.3333,0.7225781967394896
unconstrained + projection,kolmogorov,3,23.697,0.6738108895210861
unconstrained + projection,kolmogorov,3,43.8788,0.8408788053873314
unconstrained + projection,kolmogorov,4,10.2424,0.26664182783510976
unconstrained + projection,kolmogorov,4,12.4848,0.24446555481432664
unconstrained + projection,kolmogorov,4,42.7576,0.9582111219898349
unconstrained + projection,kolmogorov,4,9.1212,0.26710281332560276
unconstrained + projection,kolmogorov,4,22.5758,0.7243547463104588
unconstrained + projection,kolmogorov,4,16.9697,0.6842124836964529
