method,benchmark,fold,mu,error
single constrained tree,kolmogorov,0,19.2121,0.5650551906392377
single constrained tree,kolmogorov,0,45,0.8804345936720125
single constrained tree,kolmogorov,0,34.9091,0.9039351863223768
single constrained tree,kolmogorov,0,13.6061,0.524576117362118
single constrained tree,kolmogorov,0,40.5152,0.8128779873350301
single constrained tree,kolmogorov,0,29.303,0.7880305846953958
single constrained tree,kolmogorov,0,15.8485,0.6547712291892449
single constrained tree,kolmogorov,1,30.4242,0.8746798934136136
single constrained tree,kolmogorov,1,39.3939,0.7939301535756595
single constrained tree,kolmogorov,1,28.1818,0.7435425809117885
single constrained tree,kolmogorov,1,33.7879,0.8624382930065163
single constrained tree,kolmogorov,1,41.6364,0.9331753244576033
single constrained tree,kolmogorov,1,32.6667,0.8786407854588503
single constrained tree,kolmogorov,1,14.7273,0.32819826333379293
single constrained tree,kolmogorov,2,36.0303,0.9639961767496621
single constrained tree,kolmogorov,2,25.9394,0.7297278759853691
single constrained tree,kolmogorov,2,18.0909,0.6516435046282333
single constrained tree,kolmogorov,2,37.1515,0.8739501549220657
single constrained tree,kolmogorov,2,11.3636,0.06718571094935052
single constrained tree,kolmogorov,2,8,0.06819327758432103
single constrained tree,kolmogorov,2,24.8182,0.6542566170048905
single constrained tree,kolmogorov,3,27.0606,0.7889166884906363
single constrained tree,kolmogorov,3,38.2727,0.9075739693784662
single constrained tree,kolmogorov,3,21.4545,0.6912426815142987
single constrained tree,kolmogorov,3,31.5455,0.8424603601836901
single constrained tree,kolmogorov,3,20.3333,0.7289999140296063
single constrained tree,kolmogorov,3,23.697,0.6416685090418744
single constrained tree,kolmogorov,3,43.8788,0.8745052836663652
single constrained tree,kolmogorov,4,10.2424,0.1911585433776073
single constrained tree,kolmogorov,4,12.4848,0.16429487191230682
single constrained tree,kolmogorov,4,42.7576,0.9099219583134395
single constrained tree,kolmogorov,4,9.1212,0.19173820159668098
single constrained tree,kolmogorov,4,22.5758,0.7048225974811376
single constrained tree,kolmogorov,4,16.9697,0.6099267991937609
