method,benchmark,fold,mu,error
unconstrained boosting,kolmogorov,0,19.2121,0.639704380471289
unconstrained boosting,kolmogorov,0,45,0.7739527699297403
unconstrained boosting,kolmogorov,0,34.9091,0.9634478664763249
unconstrained boosting,kolmogorov,0,13.6061,0.5572307057956791
unconstrained boosting,kolmogorov,0,40.5152,0.9406077265399525
unconstrained boosting,kolmogorov,0,29.303,0.8733328548745166
unconstrained boosting,kolmogorov,0,15.8485,0.7091860920912487
unconstrained boosting,kolmogorov,1,30.4242,0.8646140791690933
unconstrained boosting,kolmogorov,1,39.3939,0.6050677443772993
unconstrained boosting,kolmogorov,1,28.1818,0.8163938828287979
unconstrained boosting,kolmogorov,1,33.7879,0.9549798994449007
unconstrained boosting,kolmogorov,1,41.6364,0.9063357198985654
unconstrained boosting,kolmogorov,1,32.6667,0.9057847149206583
unconstrained boosting,kolmogorov,1,14.7273,0.49775882132421345
unconstrained boosting,kolmogorov,2,36.0303,0.980790570178524
unconstrained boosting,kolmogorov,2,25.9394,0.7642441242269118
unconstrained boosting,kolmogorov,2,18.0909,0.6642415740853601
unconstrained boosting,kolmogorov,2,37.1515,0.8536149551635732
unconstrained boosting,kolmogorov,2,11.3636,0.04927254220233519
unconstrained boosting,kolmogorov,2,8,0.050248846035214394
unconstrained boosting,kolmogorov,2,24.8182,0.6828680533097622
unconstrained boosting,kolmogorov,3,27.0606,0.790903322065867
unconstrained boosting,kolmogorov,3,38.2727,0.862007516042808
unconstrained boosting,kolmogorov,3,21.4545,0.7551150387265617
unconstrained boosting,kolmogorov,3,31.5455,0.9492193419894371
unconstrained boosting,kolmogorov,3,20.3333,0.7014856248715126
unconstrained boosting,kolmogorov,3,23.697,0.7689990263426396
unconstrained boosting,kolmogorov,3,43.8788,0.7868567915854282
unconstrained boosting,kolmogorov,4,10.2424,0.12147971966875919
unconstrained boosting,kolmogorov,4,12.4848,0.1143831983515804
unconstrained boosting,kolmogorov,4,42.7576,0.9264000997227665
unconstrained boosting,kolmogorov,4,9.1212,0.12195804349927575
unconstrained boosting,kolmogorov,4,22.5758,0.732941554240361
unconstrained boosting,kolmogorov,4,16.9697,0.6942248843964739
