method,benchmark,fold,mu,error
unconstrained + projection,ks,0,32,0.07871931114025477
unconstrained + projection,ks,0,52,0.6805430801299964
unconstrained + projection,ks,0,37,0.49224290275682164
unconstrained + projection,ks,0,40,0.3698324481794409
unconstrained + projection,ks,0,53,0.61692399809565
unconstrained + projection,ks,0,16,0.2166552167073319
unconstrained + projection,ks,0,55,0.4440153502971575
unconstrained + projection,ks,0,35,0.36578622883559686
unconstrained + projection,ks,0,19,0.23774574397147938
unconstrained + projection,ks,1,41,0.4306431480877297
unconstrained + projection,ks,1,28,0.11603277613733425
unconstrained + projection,ks,1,17,0.14339986909900446
unconstrained + projection,ks,1,36,0.5515078673258199
unconstrained + projection,ks,1,47,0.26713063125388103
unconstrained + projection,ks,1,46,0.22423809333761532
unconstrained + projection,ks,1,43,0.56894457282146
unconstrained + projection,ks,1,30,0.1720026834836819
unconstrained + projection,ks,1,39,0.5285143352474964
unconstrained + projection,ks,2,33,0.11114572617881698
unconstrained + projection,ks,2,50,0.3276116355527357
unconstrained + projection,ks,2,22,0.4288845991448065
unconstrained + projection,ks,2,15,0.27140325566249224
unconstrained + projection,ks,2,49,0.5065399719634432
unconstrained + projection,ks,2,44,0.6572993695104458
unconstrained + projection,ks,2,29,0.20361640559017546
unconstrained + projection,ks,2,38,0.7322383665688377
unconstrained + projection,ks,2,18,0.3189010676071046
unconstrained + projection,ks,3,27,0.4334054423489336
unconstrained + projection,ks,3,23,0.6150219691024734
unconstrained + projection,ks,3,42,0.4288803552390573
unconstrained + projection,ks,3,21,0.48895022946560346
unconstrained + projection,ks,3,51,0.7017102928112767
unconstrained + projection,ks,3,34,0.11948803064248513
unconstrained + projection,ks,3,31,0.19726804804598602
unconstrained + projection,ks,3,12,0.6022224483427135
unconstrained + projection,ks,3,24,0.46898441540811425
unconstrained + projection,ks,4,26,0.24177654678965366
unconstrained + projection,ks,4,54,0.3359235705561554
unconstrained + projection,ks,4,14,0.5942823382611876
unconstrained + projection,ks,4,48,0.13894104844398203
unconstrained + projection,ks,4,45,0.49446529980963555
unconstrained + projection,ks,4,13,0.6052797188173265
unconstrained + projection,ks,4,25,0.3601587933219866
unconstrained + projection,ks,4,20,0.5840361370166139
