method,benchmark,fold,mu,error
single constrained tree,ks,0,32,0.12337601770742476
single constrained tree,ks,0,52,0.6809072114004985
single constrained tree,ks,0,37,0.47079619821020013
single constrained tree,ks,0,40,0.3570998028312613
single constrained tree,ks,0,53,0.6174408732909238
single constrained tree,ks,0,16,0.17377147697086953
single constrained tree,ks,0,55,0.4337025440966247
single constrained tree,ks,0,35,0.33659178314108484
single constrained tree,ks,0,19,0.2108391156462514
single constrained tree,ks,1,41,0.46933506526224344
single constrained tree,ks,1,28,0.14350949940988292
single constrained tree,ks,1,17,0.13315734928454612
single constrained tree,ks,1,36,0.5966021587506426
single constrained tree,ks,1,47,0.19812791450127196
single constrained tree,ks,1,46,0.17218290163211303
single constrained tree,ks,1,43,0.6215277251559884
single constrained tree,ks,1,30,0.15000262995593813
single constrained tree,ks,1,39,0.4517650429843463
single constrained tree,ks,2,33,0.07802430708252003
single constrained tree,ks,2,50,0.2987715358019796
single constrained tree,ks,2,22,0.42050961820833876
single constrained tree,ks,2,15,0.1775191031552546
single constrained tree,ks,2,49,0.48885703556889454
single constrained tree,ks,2,44,0.6454348004781019
single constrained tree,ks,2,29,0.13955779600433707
single constrained tree,ks,2,38,0.6832048361355821
single constrained tree,ks,2,18,0.2284806487307721
single constrained tree,ks,3,27,0.45596275343300574
single constrained tree,ks,3,23,0.6940120763807782
single constrained tree,ks,3,42,0.42170709894638303
single constrained tree,ks,3,21,0.39640279045383886
single constrained tree,ks,3,51,0.6908803067683
single constrained tree,ks,3,34,0.11304589701959616
single constrained tree,ks,3,31,0.16064033098110161
single constrained tree,ks,3,12,0.6174858691757135
single constrained tree,ks,3,24,0.5091932724963446
single constrained tree,ks,4,26,0.23411055124505176
single constrained tree,ks,4,54,0.38194482536050495
single constrained tree,ks,4,14,0.4907049826855381
single constrained tree,ks,4,48,0.14817310728178895
single constrained tree,ks,4,45,0.5160982695433847
single constrained tree,ks,4,13,0.5060008177717442
single constrained tree,ks,4,25,0.3411675711815671
single constrained tree,ks,4,20,0.6515316718603178
