method,benchmark,fold,mu,error
unconstrained boosting,ks,0,32,0.07871931114025477
unconstrained boosting,ks,0,52,0.6797073793178113
unconstrained boosting,ks,0,37,0.5213529418109287
unconstrained boosting,ks,0,40,0.36474621051862394
unconstrained boosting,ks,0,53,0.6126407275520761
unconstrained boosting,ks,0,16,0.09992857500706423
unconstrained boosting,ks,0,55,0.46275307915227487
unconstrained boosting,ks,0,35,0.3562184911524003
unconstrained boosting,ks,0,19,0.15893747557476418
unconstrained boosting,ks,1,41,0.4099566072972595
unconstrained boosting,ks,1,28,0.14033054545374055
unconstrained boosting,ks,1,17,0.0770415809069012
unconstrained boosting,ks,1,36,0.5139956949338835
unconstrained boosting,ks,1,47,0.2919445373802931
unconstrained boosting,ks,1,46,0.21835368932423566
unconstrained boosting,ks,1,43,0.5298518858825422
unconstrained boosting,ks,1,30,0.2353900357232347
unconstrained boosting,ks,1,39,0.5966433518994945
unconstrained boosting,ks,2,33,0.11114572617881698
unconstrained boosting,ks,2,50,0.37478059232245625
unconstrained boosting,ks,2,22,0.38214692086043284
unconstrained boosting,ks,2,15,0.2640863645381042
unconstrained boosting,ks,2,49,0.5701860975962615
unconstrained boosting,ks,2,44,0.5434427160904687
unconstrained boosting,ks,2,29,0.27830677197261117
unconstrained boosting,ks,2,38,0.7066761256245938
unconstrained boosting,ks,2,18,0.08266086381013772
unconstrained boosting,ks,3,27,0.13341554225176278
unconstrained boosting,ks,3,23,0.5618428603394716
unconstrained boosting,ks,3,42,0.4288803552390573
unconstrained boosting,ks,3,21,0.07958999295998262
unconstrained boosting,ks,3,51,0.696750681209804
unconstrained boosting,ks,3,34,0.10659711329050217
unconstrained boosting,ks,3,31,0.1387955788762518
unconstrained boosting,ks,3,12,0.41403724421455135
unconstrained boosting,ks,3,24,0.3329705927886652
unconstrained boosting,ks,4,26,0.19249075232771554
unconstrained boosting,ks,4,54,0.2715166963147432
unconstrained boosting,ks,4,14,0.4248024838329651
unconstrained boosting,ks,4,48,0.09437582849234796
unconstrained boosting,ks,4,45,0.4911292383221755
unconstrained boosting,ks,4,13,0.4394767706810147
unconstrained boosting,ks,4,25,0.31707403821815666
unconstrained boosting,ks,4,20,0.09049651498490427
