method,benchmark,fold,mu,error
cXGBoost,beam,0,9;9,0.0012367643444460468
cXGBoost,beam,0,4;4,9.875943244972441e-05
cXGBoost,beam,0,6;4,0.3241603030483428
cXGBoost,beam,0,6;6,0.00825086246701927
cXGBoost,beam,0,7;5,0.10551296389303694
cXGBoost,beam,1,5;9,0.036868353506200977
cXGBoost,beam,1,4;6,0.4015414853450576
cXGBoost,beam,1,8;8,0.0004578760674695156
cXGBoost,beam,1,5;7,0.032604880762051695
cXGBoost,beam,1,7;7,0.00032120440214311726
cXGBoost,beam,2,3;9,0.08856767677876574
cXGBoost,beam,2,3;3,0.00012957626705154595
cXGBoost,beam,2,6;8,0.011974353980985888
cXGBoost,beam,2,4;8,0.014155741974134587
cXGBoost,beam,2,9;3,0.14355465170359996
cXGBoost,beam,3,5;5,0.00046993203006727517
cXGBoost,beam,3,7;9,0.1846747079018374
cXGBoost,beam,3,9;7,0.19141199035043902
cXGBoost,beam,3,8;6,0.1863521697075796
cXGBoost,beam,3,3;7,0.053134920009790684
cXGBoost,beam,4,5;3,0.18589867040066163
cXGBoost,beam,4,8;4,0.01448643551106507
cXGBoost,beam,4,3;5,0.1718494430248269
cXGBoost,beam,4,9;5,0.0915217067555131
cXGBoost,beam,4,7;3,0.05441452586576006
