method,benchmark,fold,mu,error
cXGBoost,cylinder,0,833.333,0.06869676579444753
cXGBoost,cylinder,0,666.667,0.07997704614835172
cXGBoost,cylinder,0,933.333,0.07165588188845663
cXGBoost,cylinder,0,566.667,0.06893189228183196
cXGBoost,cylinder,0,1266.67,0.09762179084842143
cXGBoost,cylinder,0,200,0.0281575029464305
cXGBoost,cylinder,0,1500,0.10330522008387392
cXGBoost,cylinder,0,800,0.06909119910906579
cXGBoost,cylinder,0,266.667,0.041687985349046136
cXGBoost,cylinder,1,900,0.07286966213154639
cXGBoost,cylinder,1,233.333,0.03442165985418694
cXGBoost,cylinder,1,633.333,0.06993567385653926
cXGBoost,cylinder,1,1233.33,0.14001879449642
cXGBoost,cylinder,1,1033.33,0.06468094512244216
cXGBoost,cylinder,1,533.333,0.06455372743095118
cXGBoost,cylinder,1,766.667,0.06958867771289244
cXGBoost,cylinder,1,966.667,0.08328567354799281
cXGBoost,cylinder,1,1200,0.08007406643675155
cXGBoost,cylinder,2,333.333,0.05166040637450403
cXGBoost,cylinder,2,1000,0.08222851832042902
cXGBoost,cylinder,2,1133.33,0.09524093269912079
cXGBoost,cylinder,2,556.667,0.06766399910975594
cXGBoost,cylinder,2,733.333,0.06419179576434934
cXGBoost,cylinder,2,244.828,0.03640506173264148
cXGBoost,cylinder,2,500,0.06027745028908573
cXGBoost,cylinder,2,366.667,0.07845385577938697
cXGBoost,cylinder,3,866.667,0.08665447244852106
cXGBoost,cylinder,3,300,0.04869517043779962
cXGBoost,cylinder,3,1100,0.06764932264745772
cXGBoost,cylinder,3,700,0.07305359320718939
cXGBoost,cylinder,3,600,0.07454804674065005
cXGBoost,cylinder,3,178.889,0.025924184717513354
cXGBoost,cylinder,3,115.556,0.017501146034301474
cXGBoost,cylinder,3,400,0.08740271139510694
cXGBoost,cylinder,4,466.667,0.061199971475618384
cXGBoost,cylinder,4,1333.33,0.09304011804199952
cXGBoost,cylinder,4,157.778,0.02322556488216529
cXGBoost,cylinder,4,1166.67,0.10546301715704283
cXGBoost,cylinder,4,1066.67,0.08030794919994762
cXGBoost,cylinder,4,136.667,0.01836869017809213
cXGBoost,cylinder,4,433.333,0.06565554236628915
cXGBoost,cylinder,4,289.655,0.04526741053107646
