method,benchmark,fold,mu,error
cXGBoost,kolmogorov,0,19.2121,0.5695099001043576
cXGBoost,kolmogorov,0,45,0.8541641708932763
cXGBoost,kolmogorov,0,34.9091,0.9302524690229184
cXGBoost,kolmogorov,0,13.6061,0.49704518910647927
cXGBoost,kolmogorov,0,40.5152,0.8890424938707259
cXGBoost,kolmogorov,0,29.303,0.7877661637370997
cXGBoost,kolmogorov,0,15.8485,0.6505437036576093
cXGBoost,kolmogorov,1,30.4242,0.8618404331414912
cXGBoost,kolmogorov,1,39.3939,0.7839756281236363
cXGBoost,kolmogorov,1,28.1818,0.771659721239241
cXGBoost,kolmogorov,1,33.7879,0.8342961320814032
cXGBoost,kolmogorov,1,41.6364,0.9460190209092645
cXGBoost,kolmogorov,1,32.6667,0.9179477352151261
cXGBoost,kolmogorov,1,14.7273,0.3701793310748861
cXGBoost,kolmogorov,2,36.0303,0.9589883771317594
cXGBoost,kolmogorov,2,25.9394,0.7216255556461364
cXGBoost,kolmogorov,2,18.0909,0.6106324367215225
cXGBoost,kolmogorov,2,37.1515,0.8759477411682748
cXGBoost,kolmogorov,2,11.3636,0.07811353280083375
cXGBoost,kolmogorov,2,8,0.07885329325005838
cXGBoost,kolmogorov,2,24.8182,0.6666058010473094
cXGBoost,kolmogorov,3,27.0606,0.7673816665060651
cXGBoost,kolmogorov,3,38.2727,0.8365975937564497
cXGBoost,kolmogorov,3,21.4545,0.6827929898114372
cXGBoost,kolmogorov,3,31.5455,0.8501888679089924
cXGBoost,kolmogorov,3,20.3333,0.6673397324340601
cXGBoost,kolmogorov,3,23.697,0.6428695991465765
cXGBoost,kolmogorov,3,43.8788,0.8542437747792473
cXGBoost,kolmogorov,4,10.2424,0.14572582041231064
cXGBoost,kolmogorov,4,12.4848,0.1227670712595083
cXGBoost,kolmogorov,4,42.7576,0.9153484391713818
cXGBoost,kolmogorov,4,9.1212,0.14634174283822496
cXGBoost,kolmogorov,4,22.5758,0.7117445974420699
cXGBoost,kolmogorov,4,16.9697,0.5315938947546095
