method,benchmark,fold,mu,error
cXGBoost,ks,0,32,0.05724853321418139
cXGBoost,ks,0,52,0.6831295983484933
cXGBoost,ks,0,37,0.4678419248803766
cXGBoost,ks,0,40,0.36017970026237556
cXGBoost,ks,0,53,0.6161789177807225
cXGBoost,ks,0,16,0.16444616916844068
cXGBoost,ks,0,55,0.4284848743395121
cXGBoost,ks,0,35,0.3329955964261553
cXGBoost,ks,0,19,0.2069454505147894
cXGBoost,ks,1,41,0.4602650547731292
cXGBoost,ks,1,28,0.12241746512258642
cXGBoost,ks,1,17,0.11017682579228033
cXGBoost,ks,1,36,0.5731001487941717
cXGBoost,ks,1,47,0.18546961470366571
cXGBoost,ks,1,46,0.16362762994566227
cXGBoost,ks,1,43,0.6274864352752861
cXGBoost,ks,1,30,0.11446413650691042
cXGBoost,ks,1,39,0.470331251708732
cXGBoost,ks,2,33,0.0840201047937717
cXGBoost,ks,2,50,0.30455229338615836
cXGBoost,ks,2,22,0.39223605900038516
cXGBoost,ks,2,15,0.181548392233357
cXGBoost,ks,2,49,0.32695970313343586
cXGBoost,ks,2,44,0.7228340258694136
cXGBoost,ks,2,29,0.11085139881421313
cXGBoost,ks,2,38,0.6932095921266027
cXGBoost,ks,2,18,0.1800552023981084
cXGBoost,ks,3,27,0.43308903257812525
cXGBoost,ks,3,23,0.5986752911857789
cXGBoost,ks,3,42,0.41568761475151633
cXGBoost,ks,3,21,0.4306760535908862
cXGBoost,ks,3,51,0.6737579998229805
cXGBoost,ks,3,34,0.12740006982404248
cXGBoost,ks,3,31,0.12663447607304212
cXGBoost,ks,3,12,0.6284519922524652
cXGBoost,ks,3,24,0.4851738832123618
cXGBoost,ks,4,26,0.20374294913977264
cXGBoost,ks,4,54,0.3443278154098685
cXGBoost,ks,4,14,0.5358463244105286
cXGBoost,ks,4,48,0.21754183804155494
cXGBoost,ks,4,45,0.5049387298554517
cXGBoost,ks,4,13,0.5481396244841565
cXGBoost,ks,4,25,0.36252551013268997
cXGBoost,ks,4,20,0.5781252931922541
